405	51816	433	0.026
756	52577	26	0.0407
2124	53770	149	0.0158
1642	53115	563	0.0072
300	51666	160	0.0277
997	52734	573	0.0228
1384	53121	616	0.0121
2530	53881	238	0.0492
379	51789	259	0.0762
1158	52668	62	0.0099
908	52373	37	0.0083
530	52026	199	0.0219
1301	52976	161	0.035
728	52520	329	0.0914
1850	53786	435	0.0528
435	51882	25	0.0462
1027	52557	510	0.0497
415	51810	285	0.1023
513	51989	296	0.0248
1720	53854	231	0.0358
521	52326	45	0.0148
280	51612	178	0.0276
2795	54563	490	0.0392
1319	52791	574	0.0084
396	51816	415	0.0201
2498	54169	212	0.0152
666	52149	492	0.0217
707	52177	507	0.0353
2137	54206	350	0.0162
2131	53819	42	0.034
619	52056	583	0.0114
718	52206	147	0.0381
2081	53357	256	0.0297
460	51924	153	0.0476
464	51908	323	0.1174
921	52380	22	0.0719
1243	52930	249	0.1712
1337	52767	606	0.0072
2521	54538	145	0.0365
1602	53117	234	0.0187
1291	52738	413	0.0138
2128	53800	518	0.0157
1044	52468	425	0.0123
1316	52790	271	0.0149
1580	53145	630	0.0205
2024	53503	617	0.0124
2501	54084	407	0.018
1024	52826	519	0.0645
355	51788	252	0.0196
1434	53053	365	0.0183
