1027	52557	606	0.0373
787	52320	213	0.0118
1592	52990	22	0.016
878	52353	99	0.0142
953	52411	484	0.0232
2091	53447	289	0.0127
1344	52792	391	0.0119
1291	52738	183	0.0168
1310	53033	157	0.0114
413	51821	56	0.0571
1323	52797	638	0.0108
1923	53319	203	0.0257
1937	53388	399	0.0214
327	52294	421	0.0219
617	52072	176	0.0097
2744	54272	284	0.0192
2657	54502	430	0.0195
425	51898	500	0.0341
2217	53794	69	0.0211
1767	53436	246	0.0425
2232	53827	152	0.0193
296	51984	99	0.0222
1005	52703	167	0.0067
282	51658	590	0.0173
819	52409	291	0.0187
2144	53770	166	0.0259
338	51694	422	0.0201
658	52146	170	0.0302
1303	53050	249	0.0402
1813	53903	411	0.0281
769	52282	272	0.0114
543	52017	405	0.0426
2599	54234	313	0.0251
841	52375	173	0.0178
447	51877	361	0.0258
2608	54474	517	0.0255
1455	53089	635	0.0113
1959	53440	162	0.0155
1848	54180	295	0.0345
480	51989	250	0.1211
1838	53467	154	0.0093
2273	53709	609	0.0286
599	52317	246	0.017
2878	54465	345	0.0386
1803	54152	527	0.0223
596	52370	19	0.0101
1043	52465	303	0.0079
1794	54504	544	0.0253
2589	54174	339	0.0317
2573	54061	521	0.0374
